Player,Year,Pos,G,MP,PPG,APG,RPG,BPG,SPG,TPG,PER,TS%,BPM,3PAr,TRB,TRB%,ORB,DRB,AST,AST%,STL,STL%,BLK,BLK%,FG%,eFG%,FT%
Winston Garland,1990,PG,51,891.0,5.294117647058823,3.0784313725490198,2.176470588235294,0.09803921568627451,0.9411764705882353,1.588235294117647,9.1,0.428,-4.9,0.035,111.0,6.6,31.0,80.0,157,23.1,48.0,2.4,5.0,0.3,0.375,0.377,0.841
Winston Garland,1990,PG,28,871.0,10.857142857142858,5.214285714285714,3.6785714285714284,0.17857142857142858,1.0714285714285714,2.75,10.6,0.489,-2.6,0.091,103.0,6.8,20.0,83.0,146,24.0,30.0,1.7,5.0,0.3,0.428,0.447,0.831
Tom Garrick,1990,SG,73,1721.0,6.958904109589041,3.958904109589041,2.219178082191781,0.0958904109589041,1.2328767123287672,1.6027397260273972,11.8,0.539,-1.7,0.05,162.0,5.4,34.0,128.0,289,23.4,90.0,2.5,7.0,0.2,0.494,0.499,0.772
Kenny Gattison,1990,PF,63,941.0,5.904761904761905,0.6190476190476191,3.126984126984127,0.49206349206349204,0.5555555555555556,1.0634920634920635,12.9,0.586,-1.3,0.004,197.0,11.9,75.0,122.0,39,6.2,35.0,1.8,31.0,2.0,0.55,0.552,0.682
Derrick Gervin,1990,PF,21,339.0,11.952380952380953,0.38095238095238093,3.0952380952380953,0.3333333333333333,0.9523809523809523,0.5714285714285714,22.9,0.531,-1.2,0.015,65.0,10.2,29.0,36.0,8,4.5,20.0,2.9,7.0,1.2,0.472,0.472,0.73
Armen Gilliam,1990,PF,76,2426.0,16.723684210526315,1.3026315789473684,7.881578947368421,0.6710526315789473,0.9078947368421053,2.4078947368421053,16.6,0.565,-0.3,0.002,599.0,14.0,211.0,388.0,99,6.4,69.0,1.4,51.0,1.3,0.515,0.515,0.723
Armen Gilliam,1990,PF,16,267.0,8.9375,0.5,4.375,0.3125,0.375,1.0625,14.4,0.491,-5.1,0.0,70.0,14.4,26.0,44.0,8,4.3,6.0,1.1,5.0,1.1,0.43,0.43,0.696
Armen Gilliam,1990,PF,60,2159.0,18.8,1.5166666666666666,8.816666666666666,0.7666666666666667,1.05,2.7666666666666666,16.9,0.576,0.3,0.002,529.0,13.9,185.0,344.0,91,6.7,63.0,1.4,46.0,1.3,0.527,0.527,0.727
Mike Gminski,1990,C,81,2659.0,13.728395061728396,1.5802469135802468,8.481481481481481,1.2592592592592593,0.5308641975308642,1.2098765432098766,15.7,0.503,-0.6,0.017,687.0,14.6,196.0,491.0,128,6.9,43.0,0.8,102.0,2.3,0.457,0.459,0.821
Gary Grant,1990,PG,44,1529.0,13.068181818181818,10.045454545454545,4.431818181818182,0.11363636363636363,2.4545454545454546,4.681818181818182,15.3,0.507,0.2,0.041,195.0,7.3,59.0,136.0,442,42.5,108.0,3.4,5.0,0.2,0.466,0.471,0.779
Greg Grant,1990,PG,67,678.0,3.1044776119402986,2.5074626865671643,0.8805970149253731,0.014925373134328358,0.5373134328358209,1.1492537313432836,9.7,0.43,-5.3,0.074,59.0,4.8,16.0,43.0,168,32.2,36.0,2.5,1.0,0.1,0.384,0.391,0.661
Harvey Grant,1990,PF,81,1846.0,8.197530864197532,1.617283950617284,4.222222222222222,0.5308641975308642,0.6419753086419753,1.0493827160493827,12.0,0.502,-1.4,0.013,342.0,10.0,138.0,204.0,131,9.4,52.0,1.4,43.0,1.3,0.473,0.473,0.701
Horace Grant,1990,PF,80,2753.0,13.3875,2.8375,7.8625,1.05,1.15,1.375,16.6,0.555,2.1,0.0,629.0,13.5,236.0,393.0,227,11.3,92.0,1.7,84.0,1.9,0.523,0.523,0.699
Stuart Gray,1990,C,58,560.0,2.0,0.3275862068965517,2.5,0.4482758620689655,0.25862068965517243,0.41379310344827586,8.5,0.485,-3.3,0.051,145.0,14.7,40.0,105.0,19,4.5,15.0,1.3,26.0,2.8,0.424,0.424,0.681
Stuart Gray,1990,C,39,466.0,2.58974358974359,0.4358974358974359,3.358974358974359,0.6153846153846154,0.3076923076923077,0.48717948717948717,10.2,0.509,-2.4,0.024,131.0,16.0,38.0,93.0,17,4.9,12.0,1.3,24.0,3.1,0.463,0.463,0.641
Stuart Gray,1990,C,19,94.0,0.7894736842105263,0.10526315789473684,0.7368421052631579,0.10526315789473684,0.15789473684210525,0.2631578947368421,-0.2,0.365,-7.6,0.176,14.0,8.3,2.0,12.0,2,2.6,3.0,1.6,2.0,1.2,0.235,0.235,0.875
Jeff Grayer,1990,SF,71,1427.0,7.71830985915493,1.5070422535211268,3.056338028169014,0.14084507042253522,0.676056338028169,1.1549295774647887,11.4,0.495,-3.0,0.016,217.0,8.7,94.0,123.0,107,10.8,48.0,1.6,10.0,0.4,0.46,0.461,0.651
A.C. Green,1990,PF,82,2709.0,12.939024390243903,1.0975609756097562,8.682926829268293,0.6097560975609756,0.8048780487804879,1.4146341463414633,14.7,0.548,0.4,0.057,712.0,15.1,262.0,450.0,90,4.6,66.0,1.2,50.0,1.1,0.478,0.486,0.751
Rickey Green,1990,PG,69,927.0,3.536231884057971,2.63768115942029,0.782608695652174,0.014492753623188406,0.7391304347826086,0.8985507246376812,10.9,0.481,-5.2,0.048,54.0,3.4,9.0,45.0,182,26.4,51.0,2.7,1.0,0.1,0.433,0.435,0.843
Sidney Green,1990,C,73,1860.0,10.424657534246576,1.356164383561644,8.054794520547945,0.3561643835616438,0.684931506849315,1.63013698630137,12.7,0.501,-2.8,0.004,588.0,16.7,166.0,422.0,99,7.5,50.0,1.2,26.0,0.8,0.468,0.469,0.651
Dave Greenwood,1990,PF,37,205.0,1.6216216216216217,0.32432432432432434,2.108108108108108,0.24324324324324326,0.10810810810810811,0.43243243243243246,10.9,0.463,-2.5,0.0,78.0,21.6,24.0,54.0,12,8.0,4.0,1.0,9.0,2.8,0.423,0.423,0.552
Darrell Griffith,1990,SG,82,1444.0,8.939024390243903,0.7682926829268293,2.024390243902439,0.23170731707317074,0.8292682926829268,0.9146341463414634,13.6,0.536,-0.4,0.331,166.0,6.7,43.0,123.0,63,6.9,68.0,2.4,19.0,0.8,0.464,0.525,0.654
Scott Haffner,1990,PG,43,559.0,4.558139534883721,1.8604651162790697,1.186046511627907,0.046511627906976744,0.3023255813953488,0.7674418604651163,8.3,0.43,-6.7,0.097,51.0,5.0,7.0,44.0,80,20.4,13.0,1.1,2.0,0.2,0.406,0.412,0.68
Jack Haley,1990,PF,67,1084.0,5.388059701492537,0.3880597014925373,4.477611940298507,0.1791044776119403,0.26865671641791045,1.0746268656716418,8.5,0.449,-6.9,0.003,300.0,14.8,115.0,185.0,26,3.5,18.0,0.8,12.0,0.7,0.398,0.398,0.68
Jack Haley,1990,PF,11,58.0,2.272727272727273,0.36363636363636365,1.6363636363636365,0.09090909090909091,0.0,0.6363636363636364,12.3,0.542,-7.2,0.0,18.0,18.3,7.0,11.0,4,9.4,0.0,0.0,1.0,1.1,0.45,0.45,1.0
Jack Haley,1990,PF,56,1026.0,6.0,0.39285714285714285,5.035714285714286,0.19642857142857142,0.32142857142857145,1.1607142857142858,8.2,0.443,-6.8,0.003,282.0,14.6,108.0,174.0,22,3.2,18.0,0.8,11.0,0.6,0.394,0.394,0.661
Tom Hammonds,1990,PF,61,805.0,5.262295081967213,0.8360655737704918,2.7540983606557377,0.22950819672131148,0.18032786885245902,0.7540983606557377,10.5,0.475,-5.2,0.003,168.0,11.3,61.0,107.0,51,8.5,11.0,0.7,14.0,1.0,0.437,0.437,0.643
Bob Hansen,1990,SG,81,2174.0,7.617283950617284,1.8395061728395061,2.8271604938271606,0.13580246913580246,0.6419753086419753,0.9753086419753086,8.5,0.517,0.0,0.271,229.0,6.2,66.0,163.0,149,9.5,52.0,1.2,11.0,0.3,0.467,0.514,0.516
Bill Hanzlik,1990,PF,81,1605.0,6.172839506172839,2.2962962962962963,2.5555555555555554,0.35802469135802467,0.9629629629629629,1.0740740740740742,10.3,0.525,-0.4,0.078,207.0,6.8,67.0,140.0,186,14.0,78.0,2.2,29.0,1.0,0.452,0.46,0.743
Tim Hardaway,1990,PG,79,2663.0,14.708860759493671,8.721518987341772,3.9240506329113924,0.1518987341772152,2.088607594936709,3.2911392405063293,16.0,0.525,-0.1,0.085,310.0,6.2,57.0,253.0,689,36.4,165.0,2.8,12.0,0.2,0.471,0.483,0.764
Derek Harper,1990,PG,82,3007.0,17.963414634146343,7.426829268292683,2.975609756097561,0.3170731707317073,2.2804878048780486,2.524390243902439,19.8,0.567,4.3,0.207,244.0,4.6,54.0,190.0,609,32.2,187.0,3.2,26.0,0.5,0.488,0.527,0.794
Ron Harper,1990,SG,35,1367.0,22.8,5.2,5.885714285714286,1.1714285714285715,2.3142857142857145,2.857142857142857,20.2,0.54,4.3,0.08,206.0,8.6,74.0,132.0,182,21.9,81.0,2.9,41.0,1.8,0.473,0.484,0.788
Ron Harper,1990,SG,7,262.0,22.0,7.0,6.857142857142857,1.2857142857142858,2.0,2.5714285714285716,21.3,0.493,5.0,0.036,48.0,10.3,19.0,29.0,49,32.5,14.0,2.7,9.0,2.1,0.442,0.446,0.756
Ron Harper,1990,SG,28,1105.0,23.0,4.75,5.642857142857143,1.1428571428571428,2.392857142857143,2.9285714285714284,20.0,0.553,4.2,0.092,158.0,8.2,55.0,103.0,133,19.4,67.0,2.9,32.0,1.7,0.481,0.494,0.795
Steve Harris,1990,SG,15,93.0,2.066666666666667,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.4666666666666667,0.3333333333333333,6.0,0.371,-8.8,0.0,10.0,6.1,5.0,5.0,1,1.6,7.0,3.6,1.0,0.6,0.35,0.35,0.75
Scott Hastings,1990,PF,40,166.0,1.05,0.2,0.8,0.075,0.075,0.175,7.0,0.492,-2.8,0.364,32.0,11.0,7.0,25.0,8,6.2,3.0,0.9,3.0,1.1,0.303,0.348,0.864
Hersey Hawkins,1990,SG,82,2856.0,18.475609756097562,3.182926829268293,3.707317073170732,0.34146341463414637,1.5853658536585367,2.2560975609756095,17.0,0.57,2.0,0.176,304.0,6.0,85.0,219.0,261,13.3,130.0,2.3,28.0,0.6,0.46,0.496,0.888
Gerald Henderson,1990,PG,57,464.0,2.3684210526315788,1.2982456140350878,0.7543859649122807,0.03508771929824561,0.2807017543859649,0.42105263157894735,11.9,0.584,-1.2,0.349,43.0,5.3,11.0,32.0,74,22.0,16.0,1.7,2.0,0.3,0.486,0.564,0.8
Gerald Henderson,1990,PG,11,129.0,2.4545454545454546,1.1818181818181819,1.0909090909090908,0.0,0.7272727272727273,0.7272727272727273,7.4,0.502,-3.3,0.269,12.0,5.3,3.0,9.0,13,13.1,8.0,3.0,0.0,0.0,0.423,0.481,1.0
Gerald Henderson,1990,PG,46,335.0,2.347826086956522,1.326086956521739,0.6739130434782609,0.043478260869565216,0.17391304347826086,0.34782608695652173,13.6,0.609,-0.4,0.373,31.0,5.3,8.0,23.0,61,25.4,8.0,1.2,2.0,0.4,0.506,0.59,0.769
Mike Higgins,1990,SF,11,50.0,1.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,10.9,0.565,-1.1,0.0,4.0,4.3,2.0,2.0,3,7.0,2.0,1.9,2.0,2.4,0.375,0.375,0.8
Mike Higgins,1990,SF,6,18.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,7.5,0.568,3.9,,1.0,3.2,1.0,0.0,1,6.4,1.0,2.8,2.0,6.6,,,0.5
Mike Higgins,1990,SF,5,32.0,2.6,0.4,0.6,0.0,0.2,0.2,12.9,0.564,-4.0,0.0,3.0,4.9,1.0,2.0,2,7.4,1.0,1.4,0.0,0.0,0.375,0.375,0.875
Rod Higgins,1990,PF,82,1993.0,11.085365853658537,1.5731707317073171,5.146341463414634,0.6463414634146342,0.573170731707317,1.1341463414634145,15.5,0.6,0.8,0.305,422.0,11.3,120.0,302.0,129,8.8,47.0,1.1,53.0,1.5,0.481,0.534,0.821
Roy Hinson,1990,PF,25,793.0,15.04,0.88,6.88,1.08,0.56,2.08,15.2,0.57,-1.7,0.0,172.0,11.5,61.0,111.0,22,4.5,14.0,0.9,27.0,2.0,0.507,0.507,0.869
Craig Hodges,1990,SG,63,1055.0,6.4603174603174605,1.746031746031746,0.8412698412698413,0.031746031746031744,0.47619047619047616,0.47619047619047616,12.5,0.589,-2.3,0.547,53.0,3.0,11.0,42.0,110,13.8,30.0,1.4,2.0,0.1,0.438,0.569,0.909
Mike Holton,1990,PG,16,109.0,1.8125,1.0,0.125,0.0,0.0625,0.8125,2.9,0.539,-12.1,0.0,2.0,1.0,1.0,1.0,16,21.0,1.0,0.4,0.0,0.0,0.538,0.538,0.5
Dave Hoppen,1990,C,10,135.0,4.0,0.6,3.6,0.1,0.2,0.8,7.7,0.441,-4.9,0.0,36.0,15.1,19.0,17.0,6,6.3,2.0,0.7,1.0,0.5,0.39,0.39,0.8
Dennis Hopson,1990,SG,79,2551.0,15.835443037974683,1.9113924050632911,3.5316455696202533,0.6455696202531646,1.2658227848101267,2.1265822784810124,13.6,0.503,-1.2,0.092,279.0,5.8,113.0,166.0,151,9.6,100.0,1.9,51.0,1.2,0.434,0.448,0.792
Tito Horford,1990,C,35,236.0,1.457142857142857,0.05714285714285714,1.6857142857142857,0.45714285714285713,0.14285714285714285,0.4,5.1,0.351,-9.6,0.0,59.0,14.3,19.0,40.0,2,1.1,5.0,1.0,16.0,4.3,0.29,0.29,0.625
Jeff Hornacek,1990,SG,67,2278.0,17.597014925373134,5.029850746268656,4.6716417910447765,0.208955223880597,1.7462686567164178,1.8656716417910448,19.6,0.596,5.2,0.109,313.0,7.5,86.0,227.0,337,21.7,117.0,2.4,14.0,0.3,0.536,0.558,0.856
Ed Horton,1990,PF,45,374.0,4.488888888888889,0.4222222222222222,2.4,0.1111111111111111,0.2,0.8666666666666667,14.5,0.525,-4.1,0.025,108.0,15.6,59.0,49.0,19,7.3,9.0,1.2,5.0,0.8,0.494,0.494,0.609
Eddie Hughes,1990,PG,60,892.0,3.4833333333333334,1.9333333333333333,1.1666666666666667,0.016666666666666666,0.8,0.65,8.3,0.482,-2.5,0.243,70.0,4.1,15.0,55.0,116,15.4,48.0,2.5,1.0,0.1,0.411,0.46,0.676
Jay Humphries,1990,PG,81,2818.0,15.271604938271604,5.827160493827161,3.3209876543209877,0.13580246913580246,1.9259259259259258,1.8641975308641976,16.4,0.547,1.5,0.07,269.0,5.5,80.0,189.0,472,24.8,156.0,2.7,11.0,0.2,0.494,0.504,0.786
Byron Irvin,1990,SG,50,488.0,5.16,0.94,1.48,0.02,0.56,0.78,15.6,0.531,-0.2,0.069,74.0,8.2,30.0,44.0,47,13.7,28.0,2.7,1.0,0.1,0.473,0.485,0.67
Jaren Jackson,1990,SG,28,160.0,2.392857142857143,0.4642857142857143,0.8571428571428571,0.03571428571428571,0.4642857142857143,0.6428571428571429,10.8,0.428,-3.8,0.043,24.0,8.0,16.0,8.0,13,12.6,13.0,3.9,1.0,0.4,0.362,0.362,0.81
Mark Jackson,1990,PG,82,2428.0,9.865853658536585,7.365853658536586,3.8780487804878048,0.04878048780487805,1.329268292682927,2.573170731707317,14.3,0.492,-0.3,0.175,318.0,7.3,106.0,212.0,604,34.0,109.0,2.2,4.0,0.1,0.437,0.46,0.727
Michael Jackson,1990,PG,17,58.0,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.0,0.29411764705882354,0.23529411764705882,8.1,0.367,-4.1,0.182,7.0,6.8,2.0,5.0,8,17.6,5.0,4.3,0.0,0.0,0.273,0.318,0.5
Avery Johnson,1990,PG,53,575.0,2.641509433962264,3.056603773584906,0.8113207547169812,0.018867924528301886,0.49056603773584906,0.9056603773584906,11.6,0.439,-4.7,0.028,43.0,4.4,21.0,22.0,162,36.4,26.0,2.3,1.0,0.1,0.387,0.391,0.725
Buck Johnson,1990,SF,82,2832.0,14.817073170731707,3.073170731707317,4.646341463414634,0.7560975609756098,1.2682926829268293,2.0365853658536586,12.9,0.534,0.5,0.017,381.0,7.1,113.0,268.0,252,12.7,104.0,1.7,62.0,1.3,0.495,0.496,0.759
Dennis Johnson*,1990,PG,75,2036.0,7.08,6.466666666666667,2.68,0.18666666666666668,1.08,1.56,12.4,0.495,-1.1,0.051,201.0,5.5,48.0,153.0,485,29.7,81.0,1.9,14.0,0.4,0.434,0.435,0.843
Eddie Johnson,1990,SF,64,1811.0,16.875,1.671875,3.84375,0.15625,0.5,1.6875,14.9,0.542,-1.4,0.203,246.0,7.4,69.0,177.0,107,8.9,32.0,0.8,10.0,0.3,0.453,0.492,0.917
Eric Johnson,1990,PG,48,272.0,1.125,1.3333333333333333,0.5833333333333334,0.041666666666666664,0.3541666666666667,0.5416666666666666,4.6,0.295,-6.2,0.071,28.0,6.0,8.0,20.0,64,30.7,17.0,3.1,2.0,0.5,0.238,0.244,0.765
Kevin Johnson,1990,PG,74,2782.0,22.5,11.432432432432432,3.6486486486486487,0.1891891891891892,1.2837837837837838,3.554054054054054,22.8,0.585,3.7,0.035,270.0,5.3,42.0,228.0,846,44.4,95.0,1.6,14.0,0.3,0.499,0.502,0.838
Magic Johnson*,1990,PG,79,2937.0,22.341772151898734,11.481012658227849,6.6075949367088604,0.43037974683544306,1.6708860759493671,3.6582278481012658,26.6,0.622,9.5,0.243,522.0,10.2,128.0,394.0,907,45.5,132.0,2.2,34.0,0.7,0.48,0.526,0.89
Marques Johnson,1990,SF,10,99.0,4.0,0.9,1.7,0.1,0.0,1.0,8.5,0.507,-6.7,0.094,17.0,9.2,8.0,9.0,9,11.9,0.0,0.0,1.0,0.6,0.375,0.406,0.824
Steve Johnson,1990,C,25,259.0,4.68,0.68,2.12,0.2,0.12,1.24,9.6,0.545,-4.7,0.0,53.0,12.0,19.0,34.0,17,9.7,3.0,0.6,5.0,1.2,0.522,0.522,0.6
Steve Johnson,1990,C,4,17.0,0.0,0.25,0.75,0.0,0.0,1.5,-21.8,0.0,-25.1,0.0,3.0,10.6,0.0,3.0,1,7.6,0.0,0.0,0.0,0.0,0.0,0.0,
Steve Johnson,1990,C,21,242.0,5.571428571428571,0.7619047619047619,2.380952380952381,0.23809523809523808,0.14285714285714285,1.1904761904761905,11.8,0.555,-3.3,0.0,50.0,12.1,19.0,31.0,16,9.8,3.0,0.6,5.0,1.3,0.533,0.533,0.6
Vinnie Johnson,1990,SG,82,1972.0,9.804878048780488,3.1097560975609757,3.1219512195121952,0.15853658536585366,0.8658536585365854,1.5,12.9,0.467,-0.2,0.044,256.0,7.4,108.0,148.0,255,19.2,71.0,1.8,13.0,0.4,0.431,0.434,0.668
Nate Johnston,1990,PF-SF,21,87.0,2.1904761904761907,0.047619047619047616,1.0952380952380953,0.38095238095238093,0.14285714285714285,0.2857142857142857,14.1,0.428,-6.3,0.083,23.0,14.5,13.0,10.0,1,1.6,3.0,1.6,8.0,5.6,0.375,0.385,0.692
Nate Johnston,1990,SF,6,13.0,1.8333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,19.2,0.463,-14.4,0.091,2.0,9.0,2.0,0.0,0,0.0,0.0,0.0,1.0,4.8,0.364,0.409,1.0
Nate Johnston,1990,PF,15,74.0,2.3333333333333335,0.06666666666666667,1.4,0.4666666666666667,0.2,0.3333333333333333,13.2,0.418,-4.8,0.081,21.0,15.4,11.0,10.0,1,1.9,3.0,1.9,7.0,5.8,0.378,0.378,0.636
Anthony Jones,1990,SG,66,650.0,2.9545454545454546,0.4393939393939394,1.2424242424242424,0.24242424242424243,0.48484848484848486,0.6363636363636364,7.6,0.435,-4.3,0.067,82.0,7.2,33.0,49.0,29,6.3,32.0,2.5,16.0,1.5,0.371,0.381,0.681
Caldwell Jones,1990,PF,72,885.0,2.4027777777777777,0.2777777777777778,3.1944444444444446,0.375,0.2777777777777778,0.6666666666666666,7.2,0.516,-3.4,0.035,230.0,14.6,76.0,154.0,20,2.9,20.0,1.1,27.0,1.9,0.465,0.469,0.704
Charles Jones,1990,C,81,2240.0,3.1604938271604937,1.7160493827160495,6.222222222222222,2.432098765432099,0.6172839506172839,0.9382716049382716,9.2,0.554,1.7,0.0,504.0,12.1,145.0,359.0,139,7.2,50.0,1.1,197.0,5.0,0.508,0.508,0.648
Michael Jordan*,1990,SG,82,3197.0,33.573170731707314,6.329268292682927,6.890243902439025,0.6585365853658537,2.768292682926829,3.0121951219512195,31.2,0.606,10.6,0.125,565.0,10.4,143.0,422.0,519,28.6,227.0,3.5,54.0,1.1,0.526,0.55,0.848
Shawn Kemp,1990,PF,81,1120.0,6.481481481481482,0.32098765432098764,4.271604938271605,0.8641975308641975,0.5802469135802469,1.3209876543209877,15.9,0.531,-1.7,0.028,346.0,18.1,146.0,200.0,26,3.4,47.0,2.1,70.0,4.0,0.479,0.481,0.736
Tim Kempton,1990,PF,71,1061.0,5.394366197183099,1.6619718309859155,3.0704225352112675,0.1267605633802817,0.4225352112676056,1.1267605633802817,10.7,0.529,-2.5,0.003,218.0,10.8,51.0,167.0,118,14.0,30.0,1.3,9.0,0.5,0.49,0.49,0.675
Steve Kerr,1990,PG,78,1664.0,6.666666666666667,3.1794871794871793,1.2564102564102564,0.08974358974358974,0.5769230769230769,0.9487179487179487,12.0,0.56,-2.9,0.333,98.0,3.3,12.0,86.0,248,21.5,45.0,1.4,7.0,0.3,0.444,0.529,0.863
Jerome Kersey,1990,SF,82,2843.0,15.975609756097562,2.292682926829268,8.414634146341463,0.7682926829268293,1.475609756097561,1.7560975609756098,15.7,0.521,3.1,0.018,690.0,13.2,251.0,439.0,188,9.2,121.0,2.0,63.0,1.3,0.478,0.48,0.69
Randolph Keys,1990,SF,80,1615.0,8.7625,1.1,3.1625,0.1,0.85,1.05,10.9,0.474,-3.4,0.063,253.0,8.8,100.0,153.0,88,8.6,68.0,2.1,8.0,0.3,0.432,0.442,0.721
Randolph Keys,1990,SF,48,892.0,7.604166666666667,0.8125,2.8541666666666665,0.041666666666666664,0.7916666666666666,0.9791666666666666,9.8,0.462,-4.9,0.028,137.0,8.6,52.0,85.0,39,6.8,38.0,2.2,2.0,0.1,0.421,0.423,0.744
Randolph Keys,1990,SF,32,723.0,10.5,1.53125,3.625,0.1875,0.9375,1.15625,12.3,0.488,-1.6,0.103,116.0,9.1,48.0,68.0,49,10.7,30.0,2.0,6.0,0.5,0.445,0.464,0.69
Stan Kimbrough,1990,PG,10,50.0,1.6,0.5,0.7,0.0,0.4,0.4,12.1,0.474,0.1,0.0,7.0,8.0,4.0,3.0,5,14.3,4.0,4.1,0.0,0.0,0.438,0.438,1.0
Bernard King*,1990,SF,82,2687.0,22.402439024390244,4.585365853658536,4.926829268292683,0.08536585365853659,0.6219512195121951,3.024390243902439,18.8,0.545,0.2,0.016,404.0,8.1,129.0,275.0,376,21.8,51.0,0.9,7.0,0.1,0.487,0.488,0.803
Stacey King,1990,PF,82,1777.0,8.878048780487806,1.0609756097560976,4.682926829268292,0.7073170731707317,0.4634146341463415,1.451219512195122,13.8,0.562,-2.1,0.002,384.0,12.8,169.0,215.0,87,6.6,38.0,1.1,58.0,2.1,0.504,0.504,0.727
Greg Kite,1990,C,71,1515.0,3.23943661971831,1.0704225352112675,5.309859154929577,0.7183098591549296,0.43661971830985913,1.0704225352112675,7.0,0.446,-2.6,0.004,377.0,14.1,131.0,246.0,76,6.5,31.0,1.0,51.0,2.0,0.432,0.434,0.5
Joe Kleine,1990,C,81,1365.0,5.37037037037037,0.5679012345679012,4.382716049382716,0.3333333333333333,0.18518518518518517,0.7901234567901234,10.5,0.529,-3.0,0.011,355.0,14.4,117.0,238.0,46,4.3,15.0,0.5,27.0,1.1,0.48,0.48,0.83
