Player,Year,Pos,G,MP,PPG,APG,RPG,BPG,SPG,TPG,PER,TS%,BPM,3PAr,TRB,TRB%,ORB,DRB,AST,AST%,STL,STL%,BLK,BLK%,FG%,eFG%,FT%
Jeff Green,2017,PF,69,1534.0,9.246376811594203,1.173913043478261,3.101449275362319,0.18840579710144928,0.5362318840579711,1.0869565217391304,10.5,0.505,-4.6,0.346,214.0,7.6,39.0,175.0,81,8.1,37.0,1.2,13.0,0.7,0.394,0.442,0.863
Blake Griffin,2017,PF,61,2076.0,21.57377049180328,4.918032786885246,8.131147540983607,0.3770491803278688,0.9508196721311475,2.3278688524590163,22.7,0.569,4.4,0.116,496.0,13.4,111.0,385.0,300,24.5,58.0,1.4,23.0,0.9,0.493,0.513,0.76
Justin Hamilton,2017,C,64,1177.0,6.90625,0.859375,4.09375,0.671875,0.453125,0.671875,13.6,0.55,-0.8,0.478,262.0,11.8,71.0,191.0,55,7.3,29.0,1.2,43.0,2.8,0.459,0.532,0.75
A.J. Hammons,2017,C,22,163.0,2.1818181818181817,0.18181818181818182,1.6363636363636365,0.5909090909090909,0.045454545454545456,0.45454545454545453,8.4,0.472,-5.6,0.238,36.0,12.8,8.0,28.0,4,3.8,1.0,0.3,13.0,7.2,0.405,0.464,0.45
Tim Hardaway,2017,SG,79,2154.0,14.468354430379748,2.3037974683544302,2.8354430379746836,0.189873417721519,0.6962025316455697,1.3417721518987342,15.2,0.568,-0.3,0.457,224.0,5.7,35.0,189.0,182,14.3,55.0,1.3,15.0,0.6,0.455,0.537,0.766
James Harden,2017,PG,81,2947.0,29.08641975308642,11.185185185185185,8.135802469135802,0.4567901234567901,1.4814814814814814,5.728395061728395,27.3,0.613,10.1,0.493,659.0,12.2,95.0,564.0,906,50.7,120.0,2.0,37.0,1.0,0.44,0.525,0.847
Maurice Harkless,2017,SF,77,2223.0,10.03896103896104,1.155844155844156,4.428571428571429,0.9090909090909091,1.103896103896104,1.103896103896104,13.2,0.57,0.8,0.311,341.0,8.5,125.0,216.0,89,6.0,85.0,1.9,70.0,2.5,0.503,0.558,0.621
Justin Harper,2017,PF,3,31.0,4.0,0.6666666666666666,1.6666666666666667,0.0,0.0,1.3333333333333333,4.9,0.5,-8.8,0.583,5.0,8.9,2.0,3.0,2,10.5,0.0,0.0,0.0,0.0,0.417,0.5,
Montrezl Harrell,2017,C,58,1064.0,9.086206896551724,1.103448275862069,3.7758620689655173,0.7241379310344828,0.3448275862068966,0.7586206896551724,19.2,0.662,0.9,0.02,219.0,11.2,81.0,138.0,64,9.6,20.0,0.9,42.0,3.2,0.652,0.654,0.628
Devin Harris,2017,PG,65,1087.0,6.723076923076923,2.0923076923076924,1.9538461538461538,0.1076923076923077,0.6615384615384615,0.8769230769230769,13.8,0.549,-0.4,0.519,127.0,6.8,11.0,116.0,136,20.0,43.0,2.1,7.0,0.6,0.399,0.484,0.829
Gary Harris,2017,SG,57,1782.0,14.929824561403509,2.8771929824561404,3.1228070175438596,0.14035087719298245,1.2456140350877194,1.3333333333333333,16.5,0.611,1.5,0.4,178.0,5.5,48.0,130.0,164,13.6,71.0,1.9,8.0,0.3,0.502,0.586,0.776
Joe Harris,2017,SG,52,1138.0,8.23076923076923,1.0384615384615385,2.826923076923077,0.15384615384615385,0.5769230769230769,1.0576923076923077,9.0,0.558,-3.0,0.61,147.0,6.8,16.0,131.0,54,7.3,30.0,1.2,8.0,0.5,0.425,0.543,0.714
Manny Harris,2017,SG,4,25.0,2.0,0.5,2.25,0.0,0.0,0.5,-2.2,0.239,-18.8,0.133,9.0,20.9,3.0,6.0,2,12.7,0.0,0.0,0.0,0.0,0.2,0.2,0.5
