Player,Year,Pos,PPG,APG,RPG,BPG,SPG,PER,TS%,Score,Label
Torgeir Bryn,1990,C,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,9.1,0.431,1.48155,Reserva
Steve Bucknall,1990,SG,1.2777777777777777,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.1111111111111111,0.0,0.323,0.5461888888888888,Reserva
Greg Butler,1990,C,0.46153846153846156,0.07692307692307693,0.6923076923076923,0.0,0.0,-4.9,0.233,-0.17835000000000006,Reserva
Michael Cage,1990,C,9.731707317073171,0.8536585365853658,10.012195121951219,0.5487804878048781,0.9634146341463414,14.5,0.54,6.56419512195122,Reserva
Adrian Caldwell,1990,PF,1.9019607843137254,0.13725490196078433,2.1372549019607843,0.35294117647058826,0.21568627450980393,9.5,0.549,2.5348019607843133,Reserva
Tony Campbell,1990,SG,23.20731707317073,2.597560975609756,5.5,0.3780487804878049,1.353658536585366,17.1,0.52,9.327975609756097,Reserva
Rick Carlisle,1990,SG,0.4,1.0,0.0,0.2,0.2,-9.2,0.143,-0.9157,Reserva
Antoine Carr,1990,PF,12.324675324675324,1.5454545454545454,4.181818181818182,0.8831168831168831,0.38961038961038963,16.4,0.557,7.17673896103896,Reserva
Joe Barry,1990,C,10.013157894736842,1.2763157894736843,5.828947368421052,1.513157894736842,0.618421052631579,12.6,0.455,5.412355263157895,Reserva
Bill Cartwright,1990,C,11.422535211267606,2.0422535211267605,6.549295774647887,0.4788732394366197,0.5352112676056338,12.8,0.562,5.677114084507043,Reserva
Terry Catledge,1990,PF,19.39189189189189,0.972972972972973,7.608108108108108,0.22972972972972974,0.4864864864864865,15.0,0.525,9.71331081081081,Reserva
Tom Chambers,1990,PF,27.17283950617284,2.345679012345679,7.049382716049383,0.5802469135802469,1.0864197530864197,20.9,0.579,12.921295061728394,Role Player
Rex Chapman,1990,SG,17.5,2.4444444444444446,3.314814814814815,0.1111111111111111,0.8518518518518519,11.9,0.469,7.062455555555556,Reserva
