Player,Year,Pos,PPG,APG,RPG,BPG,SPG,PER,TS%,Score,Label
Scottie Pippen*,1996,SF,19.428571428571427,5.87012987012987,6.441558441558442,0.7402597402597403,1.7272727272727273,21.0,0.551,10.568736363636361,Role Player
Olden Polynice,1996,C,12.160493827160494,0.7160493827160493,9.432098765432098,0.8148148148148148,0.6419753086419753,15.8,0.543,7.072582098765432,Reserva
Terry Porter,1996,PG,9.426829268292684,5.512195121951219,2.5853658536585367,0.18292682926829268,1.0853658536585367,15.4,0.552,6.6511756097560975,Reserva
Brent Price,1996,PG,10.0,5.135802469135802,2.814814814814815,0.04938271604938271,0.9629629629629629,17.5,0.655,6.988030864197531,Reserva
Mark Price,1996,PG,8.0,2.5714285714285716,1.0,0.0,0.8571428571428571,10.3,0.435,4.4885,Reserva
Kevin Pritchard,1996,PG,3.5,3.5,1.0,0.0,1.0,25.6,0.81,6.021,Reserva
Dino Radja,1996,PF,19.67924528301887,1.5660377358490567,9.849056603773585,1.528301886792453,0.9056603773584906,18.0,0.536,10.87058113207547,Role Player
Theo Ratliff,1996,C,4.546666666666667,0.17333333333333334,3.96,1.5466666666666666,0.21333333333333335,14.0,0.603,3.9141500000000002,Reserva
Eldridge Recasner,1996,SG,6.920634920634921,2.6984126984126986,2.2857142857142856,0.07936507936507936,0.36507936507936506,12.3,0.562,4.575803174603174,Reserva
Bryant Reeves,1996,C,13.25974025974026,1.4155844155844155,7.402597402597403,0.7142857142857143,0.5584415584415584,13.4,0.506,6.4165987012987005,Reserva
Khalid Reeves,1996,PG,5.470588235294118,2.3137254901960786,1.5490196078431373,0.058823529411764705,0.7254901960784313,11.1,0.53,3.895450980392157,Reserva
Don Reid,1996,PF,3.8115942028985508,0.15942028985507245,2.9420289855072466,0.5797101449275363,0.6811594202898551,12.1,0.595,3.7324710144927535,Reserva
J.R. Reid,1996,PF,6.569230769230769,0.6461538461538462,3.923076923076923,0.26153846153846155,0.6615384615384615,10.6,0.552,4.492892307692308,Reserva
Terrence Rencher,1996,PG,2.9444444444444446,1.5,1.2222222222222223,0.05555555555555555,0.4444444444444444,6.5,0.441,2.280211111111111,Reserva
Shawn Respert,1996,SG,4.887096774193548,1.096774193548387,1.1935483870967742,0.06451612903225806,0.5161290322580645,10.8,0.488,3.2744451612903225,Reserva
Jerry Reynolds,1996,SF,2.9473684210526314,0.631578947368421,1.736842105263158,0.3157894736842105,0.7894736842105263,11.2,0.45,3.067105263157895,Reserva
Glen Rice,1996,SF,21.645569620253166,2.9367088607594938,4.784810126582278,0.24050632911392406,1.1518987341772151,17.8,0.584,10.31827341772152,Role Player
Pooh Richardson,1996,PG,11.65079365079365,5.396825396825397,2.507936507936508,0.20634920634920634,1.2222222222222223,14.5,0.517,7.0282873015873015,Reserva
Mitch Richmond*,1996,SG,23.11111111111111,3.1481481481481484,3.3209876543209877,0.2345679012345679,1.5432098765432098,19.2,0.591,9.81872962962963,Reserva
Isaiah Rider,1996,SG,19.6,2.84,4.12,0.30666666666666664,0.64,15.6,0.55,8.289,Reserva
Eric Riley,1996,C,3.68,0.2,3.04,0.64,0.32,12.0,0.533,3.03465,Reserva
Doc Rivers,1996,PG,3.9871794871794872,1.5769230769230769,1.7692307692307692,0.2692307692307692,0.9358974358974359,9.6,0.489,3.0376179487179487,Reserva
Fred Roberts,1996,C,3.696969696969697,0.7878787878787878,1.4242424242424243,0.12121212121212122,0.48484848484848486,14.1,0.558,2.634869696969697,Reserva
Stanley Roberts,1996,C,6.980392156862745,0.803921568627451,3.176470588235294,0.7647058823529411,0.29411764705882354,12.8,0.491,3.8447460784313727,Reserva
Alvin Robertson,1996,SG,9.324675324675324,4.194805194805195,4.441558441558442,0.4675324675324675,2.155844155844156,12.7,0.531,5.757450649350649,Reserva
Clifford Robinson,1996,SF,21.076923076923077,2.4358974358974357,5.67948717948718,0.8717948717948718,1.1025641025641026,16.3,0.532,10.154610256410256,Role Player
David Robinson*,1996,C,25.01219512195122,3.0121951219512195,12.195121951219512,3.3048780487804876,1.353658536585366,29.4,0.589,12.45664512195122,Role Player
Glenn Robinson,1996,SF,20.24390243902439,3.573170731707317,6.146341463414634,0.5121951219512195,1.1585365853658536,15.9,0.534,9.90791219512195,Reserva
James Robinson,1996,PG,8.539473684210526,1.9736842105263157,2.0657894736842106,0.21052631578947367,0.4473684210526316,10.6,0.512,4.466857894736842,Reserva
Rumeal Robinson,1996,PG,5.744186046511628,3.302325581395349,1.813953488372093,0.11627906976744186,0.6046511627906976,11.8,0.507,4.41256046511628,Reserva
Dennis Rodman*,1996,PF,5.484375,2.5,14.875,0.421875,0.5625,13.6,0.501,6.80885,Reserva
Lou Roe,1996,SF,1.836734693877551,0.30612244897959184,1.5918367346938775,0.16326530612244897,0.20408163265306123,9.0,0.432,2.299322448979592,Reserva
Carlos Rogers,1996,PF,7.678571428571429,0.625,3.0357142857142856,0.8571428571428571,0.44642857142857145,13.9,0.536,5.179671428571428,Reserva
Rodney Rogers,1996,SF,11.552238805970148,2.4925373134328357,4.268656716417911,0.5223880597014925,1.1194029850746268,13.5,0.537,6.562282089552239,Reserva
Sean Rooks,1996,C,6.523076923076923,0.7230769230769231,3.923076923076923,0.6461538461538462,0.35384615384615387,13.4,0.567,4.011426923076923,Reserva
Jalen Rose,1996,SG,10.0375,6.1875,3.25,0.4875,0.6625,14.3,0.553,6.8753,Reserva
Donald Royal,1996,SF,5.265625,0.65625,2.390625,0.234375,0.453125,12.7,0.585,4.090062499999999,Reserva
Clifford Rozier,1996,C,3.1186440677966103,0.3728813559322034,2.8983050847457625,0.5084745762711864,0.3220338983050847,10.6,0.578,2.709238983050848,Reserva
Trevor Ruffin,1996,PG,12.754098360655737,4.409836065573771,2.1639344262295084,0.03278688524590164,0.7049180327868853,14.8,0.534,7.005367213114754,Reserva
Stefano Rusconi,1996,PF,1.1428571428571428,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.0,2.4,0.357,0.9385571428571428,Reserva
Bryon Russell,1996,SF,2.9491525423728815,0.4915254237288136,1.5254237288135593,0.13559322033898305,0.4915254237288136,10.0,0.507,2.803242372881356,Reserva
Arvydas Sabonis*,1996,C,14.493150684931507,1.7808219178082192,8.054794520547945,1.0684931506849316,0.8767123287671232,24.7,0.617,8.083041780821917,Reserva
John Salley,1996,PF,4.404761904761905,1.2857142857142858,3.3333333333333335,0.6428571428571429,0.4523809523809524,10.0,0.521,3.6497190476190475,Reserva
Danny Schayes,1996,C,3.15625,0.28125,2.78125,0.5,0.34375,8.1,0.442,2.4227250000000002,Reserva
Steve Scheffler,1996,C,1.6571428571428573,0.05714285714285714,0.9428571428571428,0.05714285714285714,0.17142857142857143,10.3,0.543,1.6857214285714286,Reserva
Dwayne Schintzius,1996,C,3.3636363636363638,0.42424242424242425,2.3636363636363638,0.36363636363636365,0.2727272727272727,11.9,0.465,2.685977272727273,Reserva
Detlef Schrempf,1996,SF,17.142857142857142,4.380952380952381,5.2063492063492065,0.12698412698412698,0.8888888888888888,17.3,0.598,8.940514285714285,Reserva
Byron Scott,1996,SG,10.2375,1.5375,2.4,0.275,0.7875,13.0,0.523,5.0998,Reserva
Dennis Scott,1996,SF,17.451219512195124,2.9634146341463414,3.768292682926829,0.35365853658536583,1.0975609756097562,16.1,0.589,8.608046341463414,Reserva
Malik Sealy,1996,SF,11.483870967741936,1.8709677419354838,3.870967741935484,0.45161290322580644,1.3548387096774193,13.8,0.484,6.5184,Reserva
Rony Seikaly,1996,C,12.125,1.109375,7.796875,1.078125,0.625,14.2,0.561,6.48164375,Reserva
Brian Shaw,1996,PG,6.613333333333333,4.48,2.986666666666667,0.14666666666666667,0.7733333333333333,10.2,0.463,4.797633333333334,Reserva
Lionel Simmons,1996,SF,4.555555555555555,1.537037037037037,2.685185185185185,0.37037037037037035,0.5740740740740741,11.6,0.492,3.787348148148148,Reserva
Dickey Simpkins,1996,PF,3.6,0.6333333333333333,2.6,0.13333333333333333,0.15,10.4,0.533,3.2416333333333336,Reserva
Scott Skiles,1996,PG,6.3,3.8,1.6,0.0,0.7,9.0,0.513,4.3063,Reserva
Reggie Slater,1996,PF,2.8181818181818183,0.18181818181818182,1.3636363636363635,0.2727272727272727,0.18181818181818182,9.5,0.515,2.6401363636363633,Reserva
Charles Smith,1996,PF,8.342465753424657,0.8904109589041096,4.958904109589041,1.095890410958904,0.684931506849315,11.3,0.469,5.414502739726027,Reserva
Doug Smith,1996,PF,1.9411764705882353,0.23529411764705882,1.2941176470588236,0.0,0.17647058823529413,4.2,0.388,1.5276235294117646,Reserva
Joe Smith,1996,PF,15.25609756097561,0.9634146341463414,8.74390243902439,1.6341463414634145,1.0365853658536586,17.2,0.523,9.224982926829268,Reserva
Kenny Smith,1996,PG,8.529411764705882,3.6029411764705883,1.411764705882353,0.04411764705882353,0.6911764705882353,12.5,0.568,5.325182352941177,Reserva
Michael Smith,1996,PF,5.492307692307692,1.6923076923076923,5.984615384615385,0.7076923076923077,0.7230769230769231,14.2,0.565,5.174192307692308,Reserva
Steve Smith,1996,SG,18.075,2.8,4.075,0.2125,0.85,16.6,0.551,8.043849999999999,Reserva
Tony Smith,1996,SG,5.0508474576271185,2.610169491525424,1.6101694915254237,0.1694915254237288,0.6271186440677966,11.7,0.506,3.981871186440678,Reserva
Rik Smits,1996,C,18.476190476190474,1.746031746031746,6.873015873015873,0.7142857142857143,0.3333333333333333,19.0,0.569,7.864164285714286,Reserva
Eric Snow,1996,PG,2.6744186046511627,1.697674418604651,1.0,0.0,0.6511627906976745,10.7,0.473,2.915090697674418,Reserva
Elmore Spencer,1996,C,0.8235294117647058,0.058823529411764705,0.7647058823529411,0.11764705882352941,0.0,2.3,0.448,0.6759294117647058,Reserva
Felton Spencer,1996,C,5.577464788732394,0.15492957746478872,4.309859154929577,0.7605633802816901,0.28169014084507044,10.4,0.57,3.6670915492957747,Reserva
Latrell Sprewell,1996,SG,18.884615384615383,4.205128205128205,4.871794871794871,0.5769230769230769,1.6282051282051282,15.9,0.527,8.630648717948718,Reserva
Jerry Stackhouse,1996,SG,19.22222222222222,3.861111111111111,3.6805555555555554,1.0972222222222223,1.0555555555555556,14.8,0.525,8.429444444444444,Reserva
John Starks,1996,SG,12.641975308641975,3.888888888888889,2.925925925925926,0.13580246913580246,1.271604938271605,14.2,0.555,6.707104938271605,Reserva
Bryant Stith,1996,SG,13.646341463414634,2.9390243902439024,4.878048780487805,0.1951219512195122,1.3902439024390243,13.9,0.519,6.577143902439024,Reserva
John Stockton*,1996,PG,14.74390243902439,11.170731707317072,2.7560975609756095,0.18292682926829268,1.7073170731707317,21.9,0.642,10.944931707317073,Role Player
Damon Stoudamire,1996,PG,19.014285714285716,9.32857142857143,4.014285714285714,0.2714285714285714,1.4,16.7,0.528,10.576371428571429,Role Player
Rod Strickland,1996,PG,18.746268656716417,9.552238805970148,4.432835820895522,0.23880597014925373,1.4477611940298507,19.1,0.519,10.946750746268656,Role Player
Derek Strong,1996,PF,3.3968253968253967,0.5079365079365079,2.8253968253968256,0.19047619047619047,0.2857142857142857,12.4,0.518,3.5435460317460317,Reserva
Bob Sura,1996,SG,5.341772151898734,2.949367088607595,1.7088607594936709,0.26582278481012656,0.7088607594936709,15.0,0.5,4.667721518987341,Reserva
Greg Sutton,1996,PG,5.25,2.125,1.0416666666666667,0.041666666666666664,0.5208333333333334,10.6,0.531,3.69935,Reserva
Larry Sykes,1996,PF,0.0,0.0,2.0,0.0,0.0,0.0,,,Reserva
Zan Tabak,1996,C,7.6716417910447765,0.9253731343283582,4.776119402985074,0.4626865671641791,0.3582089552238806,12.4,0.554,4.350535820895523,Reserva
Kurt Thomas,1996,PF,9.0,0.6216216216216216,5.9324324324324325,0.4864864864864865,0.6351351351351351,13.5,0.533,6.076948648648649,Reserva
Brooks Thompson,1996,PG,4.242424242424242,0.9393939393939394,0.7272727272727273,0.0,0.36363636363636365,16.9,0.609,3.985293939393939,Reserva
LaSalle Thompson,1996,C,1.9318181818181819,0.5909090909090909,4.5227272727272725,0.45454545454545453,0.4318181818181818,6.2,0.454,2.4995181818181815,Reserva
Bob Thornton,1996,PF,0.42857142857142855,0.0,1.7142857142857142,0.0,0.14285714285714285,4.1,0.218,1.1225142857142856,Reserva
Otis Thorpe,1996,PF,14.158536585365853,1.9268292682926829,8.390243902439025,0.47560975609756095,0.6463414634146342,15.7,0.573,8.45010487804878,Reserva
Sedale Threatt,1996,PG,7.2682926829268295,3.2804878048780486,1.1585365853658536,0.13414634146341464,0.8292682926829268,13.2,0.535,4.998743902439023,Reserva
Wayman Tisdale,1996,PF,10.666666666666666,0.9206349206349206,3.3968253968253967,0.5714285714285714,0.23809523809523808,16.4,0.534,6.473717460317459,Reserva
Andy Toolson,1996,SF,1.6923076923076923,0.07692307692307693,0.46153846153846156,0.0,0.0,4.4,0.463,1.3063,Reserva
Keith Tower,1996,C,2.411764705882353,0.14705882352941177,1.5,0.3235294117647059,0.11764705882352941,7.5,0.491,1.787785294117647,Reserva
Gary Trent,1996,PF,7.507246376811594,0.7246376811594203,3.449275362318841,0.15942028985507245,0.36231884057971014,12.4,0.527,4.906902898550723,Reserva
Jeff Turner,1996,PF,3.6153846153846154,0.46153846153846156,2.1538461538461537,0.07692307692307693,0.15384615384615385,3.6,0.453,2.1237615384615385,Reserva
Nick Van,1996,PG,14.85135135135135,6.878378378378378,2.445945945945946,0.13513513513513514,0.9459459459459459,15.9,0.528,8.55807027027027,Reserva
Logan Vander,1996,SF,0.6,0.06666666666666667,0.4,0.0,0.0,1.8,0.286,0.5586,Reserva
David Vaughn,1996,PF,1.9393939393939394,0.24242424242424243,2.4242424242424243,0.45454545454545453,0.18181818181818182,6.0,0.364,2.0667030303030303,Reserva
Loy Vaught,1996,PF,16.225,1.4,10.1,0.5,1.0875,16.7,0.551,9.606350000000003,Reserva
Rasheed Wallace,1996,PF,10.076923076923077,1.3076923076923077,4.661538461538462,0.8307692307692308,0.6461538461538462,11.8,0.53,5.9260769230769235,Reserva
Rex Walters,1996,SG,4.2272727272727275,2.409090909090909,1.25,0.09090909090909091,0.5681818181818182,12.8,0.544,3.8743999999999996,Reserva
Charlie Ward,1996,PG,3.935483870967742,2.129032258064516,1.6451612903225807,0.0967741935483871,0.8709677419354839,12.0,0.505,3.579532258064516,Reserva
Jamie Watson,1996,SF,3.0,1.5,1.6875,0.125,0.5,6.9,0.493,2.3843,Reserva
Clarence Weatherspoon,1996,SF,16.666666666666668,2.0256410256410255,9.653846153846153,1.3846153846153846,1.435897435897436,17.1,0.541,9.831920512820512,Reserva
Spud Webb,1996,PG,7.064935064935065,3.8181818181818183,1.2987012987012987,0.09090909090909091,0.6753246753246753,14.8,0.551,5.377697402597403,Reserva
Chris Webber,1996,PF,23.733333333333334,5.0,7.6,0.6,1.8,23.6,0.581,12.4781,Role Player
Jeff Webster,1996,SF,1.6363636363636365,0.2727272727272727,0.6363636363636364,0.0,0.36363636363636365,7.0,0.391,1.7436454545454545,Reserva
Bill Wennington,1996,C,5.295774647887324,0.647887323943662,2.4507042253521125,0.22535211267605634,0.29577464788732394,11.0,0.519,2.976654225352113,Reserva
Robert Werdann,1996,C,3.0,0.15384615384615385,1.7692307692307692,0.23076923076923078,0.38461538461538464,13.6,0.517,2.574311538461539,Reserva
David Wesley,1996,PG,12.304878048780488,4.7560975609756095,3.2195121951219514,0.13414634146341464,1.2195121951219512,18.5,0.585,7.574353658536586,Reserva
Doug West,1996,SG,6.36986301369863,1.63013698630137,2.2054794520547945,0.2328767123287671,0.410958904109589,7.6,0.509,3.3539136986301368,Reserva
Mark West,1996,C,3.1914893617021276,0.1276595744680851,2.8297872340425534,0.7872340425531915,0.1276595744680851,7.2,0.514,2.4297425531914896,Reserva
Dwayne Whitfield,1996,PF,5.0,0.25,3.125,0.25,0.375,9.3,0.504,3.6329000000000002,Reserva
Chris Whitney,1996,PG,7.142857142857143,2.4285714285714284,1.5714285714285714,0.047619047619047616,0.8571428571428571,17.1,0.634,5.264114285714285,Reserva
Gerald Wilkins,1996,SG,6.714285714285714,2.4285714285714284,2.3214285714285716,0.07142857142857142,0.7857142857142857,7.3,0.437,3.667271428571428,Reserva
Buck Williams,1996,PF,7.3,0.6,5.771428571428571,0.6714285714285714,0.5714285714285714,12.3,0.548,5.368371428571428,Reserva
Eric Williams,1996,SF,10.703125,1.09375,3.390625,0.171875,0.875,13.3,0.506,6.0393500000000016,Reserva
Herb Williams,1996,PF-C,3.1363636363636362,0.6136363636363636,2.0454545454545454,0.75,0.3181818181818182,8.0,0.429,2.6997181818181817,Reserva
Hot Rod,1996,C,7.338709677419355,1.0,6.0,1.4516129032258065,0.7419354838709677,12.4,0.501,4.895695161290323,Reserva
Jayson Williams,1996,PF,9.0125,0.5875,10.0375,0.7125,0.4375,16.4,0.462,7.332449999999999,Reserva
Lorenzo Williams,1996,C,3.046153846153846,1.3076923076923077,8.015384615384615,1.876923076923077,0.7384615384615385,9.6,0.404,4.463276923076923,Reserva
Micheal Williams,1996,PG,6.111111111111111,3.4444444444444446,2.5555555555555554,0.3333333333333333,0.5555555555555556,6.9,0.504,3.8187333333333333,Reserva
Monty Williams,1996,SF,2.193548387096774,0.25806451612903225,1.2903225806451613,0.06451612903225806,0.1935483870967742,8.4,0.443,2.2462354838709673,Reserva
Reggie Williams,1996,SF,4.634615384615385,1.4230769230769231,2.3461538461538463,0.40384615384615385,0.6538461538461539,8.4,0.444,3.2697846153846157,Reserva
Scott Williams,1996,PF,3.076923076923077,0.38461538461538464,3.5384615384615383,0.5384615384615384,0.46153846153846156,10.5,0.583,3.36406923076923,Reserva
Walt Williams,1996,SF,13.63013698630137,3.1506849315068495,4.36986301369863,0.7945205479452054,1.1643835616438356,15.8,0.547,7.583604109589042,Reserva
Corliss Williamson,1996,SF,5.60377358490566,0.4339622641509434,2.150943396226415,0.16981132075471697,0.20754716981132076,8.5,0.487,3.472756603773585,Reserva
Kevin Willis,1996,PF,10.586666666666666,0.7066666666666667,8.506666666666666,0.5466666666666666,0.4266666666666667,11.7,0.496,6.779266666666666,Reserva
Trevor Wilson,1996,PF,3.8333333333333335,0.6666666666666666,2.3333333333333335,0.0,0.5,13.2,0.528,3.6994666666666665,Reserva
David Wingate,1996,SG,3.716666666666667,0.9666666666666667,0.9333333333333333,0.06666666666666667,0.3333333333333333,8.1,0.485,2.531,Reserva
Dontonio Wingfield,1996,SF,3.75,0.6363636363636364,2.3636363636363638,0.13636363636363635,0.45454545454545453,11.1,0.48,3.369818181818182,Reserva
Joe Wolf,1996,PF,4.546875,0.984375,2.921875,0.078125,0.234375,8.8,0.528,3.3524875,Reserva
David Wood,1996,PF,3.3548387096774195,0.5483870967741935,2.4838709677419355,0.16129032258064516,0.3064516129032258,9.2,0.531,2.9831,Reserva
Randy Woods,1996,PG,2.375,1.5,0.75,0.125,0.75,9.5,0.415,2.5852500000000003,Reserva
Haywoode Workman,1996,PG,3.6233766233766236,2.7662337662337664,1.6103896103896105,0.05194805194805195,0.8441558441558441,10.2,0.479,3.451925974025974,Reserva
Sharone Wright,1996,C,11.649122807017545,0.6666666666666666,6.245614035087719,0.8596491228070176,0.5263157894736842,15.1,0.53,5.95492105263158,Reserva
George Zidek,1996,C,3.9577464788732395,0.22535211267605634,2.5774647887323945,0.09859154929577464,0.1267605633802817,8.0,0.486,2.41373661971831,Reserva
Mahmoud Abdul-Rauf,1997,PG,13.746666666666666,2.52,1.6266666666666667,0.08,0.7466666666666667,13.2,0.524,6.351066666666666,Reserva
Shareef Abdur-Rahim,1997,PF,18.675,2.1875,6.9375,0.9875,0.9875,17.4,0.518,9.849300000000001,Reserva
Rafael Addison,1997,SF,3.1219512195121952,0.8292682926829268,1.0975609756097562,0.07317073170731707,0.1951219512195122,10.6,0.476,2.820526829268293,Reserva
Cory Alexander,1997,PG,7.2125,3.175,1.5375,0.2,1.025,14.3,0.528,5.112175,Reserva
Jerome Allen,1997,SG,3.0,2.0,1.2894736842105263,0.05263157894736842,0.40789473684210525,8.7,0.451,2.8001,Reserva
Ray Allen,1997,SG,13.439024390243903,2.5609756097560976,3.975609756097561,0.12195121951219512,0.9146341463414634,14.6,0.541,6.500197560975609,Reserva
Derrick Alston,1997,C,0.0,0.0,2.0,0.0,0.0,-9.0,0.0,-0.30000000000000004,Reserva
Ashraf Amaya,1997,PF,1.2903225806451613,0.0967741935483871,1.6774193548387097,0.0967741935483871,0.22580645161290322,8.8,0.382,2.1130387096774195,Reserva
Greg Anderson,1997,C,3.926829268292683,0.4146341463414634,5.463414634146342,0.8170731707317073,0.7682926829268293,11.4,0.531,3.795208536585366,Reserva
Kenny Anderson,1997,PG,17.51219512195122,7.121951219512195,4.426829268292683,0.18292682926829268,1.975609756097561,19.5,0.54,9.849731707317074,Reserva
Nick Anderson,1997,SG,12.015873015873016,2.888888888888889,4.825396825396825,0.5079365079365079,1.9047619047619047,13.8,0.494,6.134479365079365,Reserva
Shandon Anderson,1997,SG,5.938461538461539,0.7538461538461538,2.753846153846154,0.12307692307692308,0.4153846153846154,10.4,0.534,3.3618615384615387,Reserva
Willie Anderson,1997,SG,2.9642857142857144,1.2142857142857142,1.5,0.14285714285714285,0.5,12.6,0.57,3.1130714285714283,Reserva
Greg Anthony,1997,PG,9.476923076923077,6.2615384615384615,2.830769230769231,0.06153846153846154,1.9846153846153847,16.6,0.526,7.10336923076923,Reserva
B.J. Armstrong,1997,PG,7.938775510204081,2.5714285714285716,1.510204081632653,0.04081632653061224,0.5102040816326531,12.9,0.538,4.87349387755102,Reserva
Darrell Armstrong,1997,PG,6.134328358208955,2.611940298507463,1.1343283582089552,0.13432835820895522,0.9104477611940298,14.7,0.525,4.70526119402985,Reserva
Vincent Askew,1997,SG,5.558139534883721,2.0930232558139537,2.2790697674418605,0.13953488372093023,0.3953488372093023,9.7,0.532,3.6302930232558137,Reserva
Keith Askins,1997,SF,4.923076923076923,0.9615384615384616,3.4743589743589745,0.24358974358974358,0.6794871794871795,9.1,0.557,3.6848025641025646,Reserva
Stacey Augmon,1997,SG,4.65,0.9333333333333333,2.3,0.2833333333333333,0.7,11.3,0.531,3.237266666666667,Reserva
Isaac Austin,1997,C,9.658536585365853,1.2317073170731707,5.829268292682927,0.524390243902439,0.5487804878048781,14.2,0.536,5.258385365853658,Reserva
Vin Baker,1997,PF,20.987179487179485,2.7051282051282053,10.307692307692308,1.435897435897436,1.0384615384615385,20.1,0.553,11.675428205128206,Role Player
Charles Barkley*,1997,PF,19.169811320754718,4.679245283018868,13.50943396226415,0.4716981132075472,1.3018867924528301,23.0,0.581,12.138288679245283,Role Player
Dana Barros,1997,PG,12.5,3.375,2.0,0.25,1.0833333333333333,14.0,0.552,6.46145,Reserva
Brent Barry,1997,SG,7.491525423728813,2.610169491525424,1.8644067796610169,0.2542372881355932,0.864406779661017,15.0,0.526,5.089040677966102,Reserva
Jon Barry,1997,SG,4.913793103448276,1.9827586206896552,1.706896551724138,0.05172413793103448,0.9482758620689655,13.2,0.535,3.955913793103448,Reserva
Benoit Benjamin,1997,C,3.25,0.25,2.25,0.0,0.25,8.9,0.472,2.2386,Reserva
Elmer Bennett,1997,PG,2.4444444444444446,1.2222222222222223,0.4444444444444444,0.0,0.4444444444444444,5.8,0.47,1.9558888888888888,Reserva
Travis Best,1997,PG,9.921052631578947,4.184210526315789,2.1842105263157894,0.06578947368421052,1.2894736842105263,13.3,0.533,5.993036842105263,Reserva
Mookie Blaylock,1997,PG,17.358974358974358,5.935897435897436,5.294871794871795,0.2564102564102564,2.717948717948718,20.4,0.548,9.532107692307692,Reserva
Corie Blount,1997,PF,4.155172413793103,0.603448275862069,4.758620689655173,0.4482758620689655,0.3793103448275862,11.9,0.559,4.121934482758621,Reserva
Muggsy Bogues,1997,PG,8.03076923076923,7.2153846153846155,2.169230769230769,0.03076923076923077,1.2615384615384615,15.7,0.554,6.943476923076923,Reserva
Dexter Boney,1997,SG,2.375,0.0,0.75,0.125,0.25,10.2,0.422,2.1659499999999996,Reserva
Melvin Booker,1997,PG,5.809523809523809,2.5238095238095237,1.380952380952381,0.09523809523809523,0.14285714285714285,8.8,0.536,3.7093142857142856,Reserva
Bruce Bowen,1997,SF,0.0,0.0,0.0,1.0,0.0,37.7,,,Reserva
Donnie Boyce,1997,SG,2.5,0.5909090909090909,0.6818181818181818,0.18181818181818182,0.45454545454545453,7.0,0.378,1.919618181818182,Reserva
Shawn Bradley,1997,C,13.164383561643836,0.7123287671232876,8.36986301369863,3.3972602739726026,0.547945205479452,16.5,0.478,7.667050684931508,Reserva
Mark Bradtke,1997,C,1.6388888888888888,0.19444444444444445,1.8888888888888888,0.1388888888888889,0.1388888888888889,9.6,0.463,1.9123166666666667,Reserva
Terrell Brandon,1997,PG,19.474358974358974,6.282051282051282,3.858974358974359,0.38461538461538464,1.7692307692307692,21.5,0.526,10.344907692307691,Role Player
Frank Brickowski,1997,PF,4.764705882352941,0.8823529411764706,2.0,0.23529411764705882,0.29411764705882354,6.9,0.512,2.9685529411764704,Reserva
Scott Brooks,1997,PG,1.5,0.7631578947368421,0.47368421052631576,0.0,0.5526315789473685,11.0,0.625,2.354605263157895,Reserva
Chucky Brown,1997,SF,2.914285714285714,0.4,2.1142857142857143,0.3142857142857143,0.12857142857142856,11.3,0.552,3.091628571428572,Reserva
Dee Brown,1997,PG,7.619047619047619,3.1904761904761907,2.2857142857142856,0.3333333333333333,1.4761904761904763,11.3,0.455,4.761928571428571,Reserva
Marcus Brown,1997,PG,3.9047619047619047,0.9523809523809523,0.7142857142857143,0.09523809523809523,0.38095238095238093,12.9,0.523,3.2968238095238096,Reserva
Mike Brown,1997,C,2.6666666666666665,0.8333333333333334,4.166666666666667,0.16666666666666666,0.16666666666666666,11.1,0.488,2.9594000000000005,Reserva
P.J. Brown,1997,PF,9.5125,1.15,8.375,1.225,1.0625,13.8,0.505,6.877999999999999,Reserva
Randy Brown,1997,PG,4.736111111111111,1.8472222222222223,1.5416666666666667,0.2361111111111111,1.125,13.0,0.461,3.8266555555555555,Reserva
Kobe Bryant,1997,SG,7.591549295774648,1.2816901408450705,1.8591549295774648,0.323943661971831,0.6901408450704225,14.4,0.544,4.560878873239437,Reserva
Mark Bryant,1997,PF,9.268292682926829,1.146341463414634,5.170731707317073,0.12195121951219512,0.5365853658536586,13.3,0.589,5.934387804878049,Reserva
Jud Buechler,1997,SF,1.8289473684210527,0.7894736842105263,1.6578947368421053,0.27631578947368424,0.3026315789473684,9.8,0.423,2.450457894736842,Reserva
Matt Bullard,1997,PF,4.507042253521127,0.9436619718309859,1.647887323943662,0.2535211267605634,0.29577464788732394,10.3,0.535,3.3351197183098593,Reserva
Scott Burrell,1997,SF,5.157894736842105,1.2982456140350878,2.7719298245614037,0.3333333333333333,0.49122807017543857,10.3,0.483,3.777510526315789,Reserva
Willie Burton,1997,SF,6.166666666666667,0.4583333333333333,1.7083333333333333,0.125,0.3333333333333333,8.6,0.507,3.5782,Reserva
Mitchell Butler,1997,SG,3.020408163265306,0.6122448979591837,1.0816326530612246,0.04081632653061224,0.2653061224489796,9.0,0.503,2.3696877551020408,Reserva
Jason Caffey,1997,PF,7.32,1.1866666666666668,4.013333333333334,0.12,0.3333333333333333,14.3,0.574,5.2463999999999995,Reserva
Michael Cage,1997,C,1.8414634146341464,0.524390243902439,3.902439024390244,0.5121951219512195,0.5853658536585366,10.3,0.475,2.7208231707317077,Reserva
Adrian Caldwell,1997,PF,2.2444444444444445,0.26666666666666666,3.7111111111111112,0.17777777777777778,0.35555555555555557,7.5,0.443,2.6381888888888887,Reserva
Marcus Camby,1997,C,14.841269841269842,1.5396825396825398,6.253968253968254,2.0634920634920637,1.0476190476190477,17.8,0.523,7.166467460317461,Reserva
